index,lat,lon,cropland_frac,cropland_frac_netgain
0,24.712499999999906,68.58750000000052,91,32
1,24.712499999999906,68.61250000000052,83,30
2,24.712499999999906,68.6375000000005,69,18
3,24.712499999999906,68.6625000000005,75,8
4,24.712499999999906,68.68750000000051,42,9
5,24.712499999999906,68.71250000000052,37,18
6,24.712499999999906,68.73750000000052,67,21
7,24.712499999999906,68.7625000000005,73,29
8,24.712499999999906,68.7875000000005,54,20
9,24.712499999999906,68.81250000000051,55,7
10,24.712499999999906,68.83750000000052,38,4
11,24.712499999999906,68.86250000000052,44,11
12,24.712499999999906,68.8875000000005,55,6
13,24.712499999999906,68.9125000000005,52,6
14,24.712499999999906,68.93750000000051,42,3
15,24.712499999999906,68.96250000000052,40,10
16,24.712499999999906,68.98750000000052,37,6
17,24.712499999999906,69.0125000000005,27,10
18,24.712499999999906,69.0375000000005,45,6
19,24.712499999999906,69.06250000000051,35,5
20,24.712499999999906,69.08750000000052,45,10
21,24.712499999999906,69.11250000000052,46,6
22,24.712499999999906,69.1375000000005,52,13
23,24.712499999999906,69.1625000000005,46,5
24,24.712499999999906,69.18750000000051,58,4
25,24.712499999999906,69.21250000000052,67,9
26,24.712499999999906,69.23750000000052,70,8
27,24.712499999999906,69.2625000000005,44,12
28,24.712499999999906,69.2875000000005,34,7
29,24.712499999999906,69.31250000000051,70,11
30,24.712499999999906,69.33750000000052,1,1
31,24.712499999999906,69.36250000000052,5,5
32,24.712499999999906,69.3875000000005,1,1
33,24.712499999999906,69.4125000000005,0,0
34,24.712499999999906,69.43750000000051,0,0
35,24.712499999999906,69.46250000000052,1,1
36,24.712499999999906,69.48750000000052,0,0
37,24.712499999999906,69.5125000000005,0,0
38,24.712499999999906,69.5375000000005,1,1
39,24.712499999999906,69.56250000000051,0,0
40,24.712499999999906,69.58750000000052,0,0
41,24.712499999999906,69.61250000000052,0,0
42,24.712499999999906,69.6375000000005,0,0
43,24.712499999999906,69.6625000000005,0,0
44,24.712499999999906,69.68750000000051,0,0
45,24.712499999999906,69.71250000000052,0,0
46,24.712499999999906,69.73750000000052,0,0
47,24.712499999999906,69.7625000000005,0,0
48,24.712499999999906,69.7875000000005,0,0
49,24.712499999999906,69.81250000000051,0,0
50,24.712499999999906,69.83750000000052,0,0
51,24.712499999999906,69.86250000000052,0,0
52,24.712499999999906,69.8875000000005,0,0
53,24.712499999999906,69.9125000000005,0,0
54,24.712499999999906,69.93750000000051,0,0
55,24.712499999999906,69.96250000000052,0,0
56,24.712499999999906,69.98750000000052,0,0
57,24.712499999999906,70.0125000000005,0,0
58,24.712499999999906,70.0375000000005,0,0
59,24.712499999999906,70.06250000000051,0,0
60,24.712499999999906,70.08750000000052,0,0
61,24.712499999999906,70.11250000000052,0,0
62,24.712499999999906,70.1375000000005,0,0
63,24.712499999999906,70.1625000000005,0,0
64,24.712499999999906,70.18750000000051,0,0
65,24.712499999999906,70.21250000000052,0,0
66,24.712499999999906,70.23750000000052,0,0
67,24.712499999999906,70.2625000000005,0,0
68,24.712499999999906,70.2875000000005,0,0
69,24.712499999999906,70.31250000000051,5,5
70,24.712499999999906,70.33750000000052,2,2
71,24.712499999999906,70.36250000000052,0,0
72,24.712499999999906,70.3875000000005,0,0
73,24.712499999999906,70.4125000000005,1,1
74,24.712499999999906,70.43750000000051,0,0
75,24.712499999999906,70.46250000000052,0,0
76,24.712499999999906,70.48750000000052,0,0
77,24.712499999999906,70.5125000000005,0,0
78,24.712499999999906,70.5375000000005,0,0
79,24.712499999999906,70.56250000000051,0,0
80,24.712499999999906,70.58750000000052,0,0
81,24.712499999999906,70.61250000000052,0,0
82,24.712499999999906,70.6375000000005,0,0
83,24.712499999999906,70.6625000000005,0,0
84,24.712499999999906,70.68750000000051,0,0
85,24.712499999999906,70.71250000000052,0,0
86,24.712499999999906,70.73750000000052,0,0
87,24.712499999999906,70.76250000000053,0,0
88,24.712499999999906,70.7875000000005,0,0
89,24.712499999999906,70.81250000000051,0,0
90,24.712499999999906,70.83750000000052,0,0
91,24.712499999999906,70.86250000000052,1,1
92,24.712499999999906,70.88750000000053,5,4
93,24.712499999999906,70.9125000000005,8,8
94,24.712499999999906,70.93750000000051,6,6
95,24.712499999999906,70.96250000000052,11,11
96,24.712499999999906,70.98750000000052,8,8
97,24.712499999999906,71.01250000000053,18,17
98,24.712499999999906,71.0375000000005,22,21
99,24.712499999999906,71.06250000000051,19,17
100,24.712499999999906,71.08750000000052,3,3
101,24.712499999999906,71.11250000000052,2,2
102,24.712499999999906,71.13750000000053,4,4
103,24.712499999999906,71.1625000000005,9,9
104,24.712499999999906,71.18750000000051,4,4
105,24.712499999999906,71.21250000000052,1,1
106,24.712499999999906,71.23750000000052,0,0
107,24.712499999999906,71.26250000000053,2,2
108,24.712499999999906,71.2875000000005,9,8
109,24.712499999999906,71.31250000000051,5,5
110,24.712499999999906,71.33750000000052,34,32
111,24.712499999999906,71.36250000000052,60,48
112,24.712499999999906,71.38750000000053,61,40
113,24.712499999999906,71.4125000000005,77,46
114,24.712499999999906,71.43750000000051,24,9
115,24.712499999999906,71.46250000000052,22,15
116,24.712499999999906,71.48750000000052,66,34
117,24.712499999999906,71.51250000000053,94,55
118,24.712499999999906,71.5375000000005,80,44
119,24.712499999999906,71.56250000000051,75,35
120,24.712499999999906,71.58750000000052,90,39
121,24.712499999999906,71.61250000000052,95,35
122,24.712499999999906,71.63750000000053,95,36
123,24.712499999999906,71.6625000000005,80,43
124,24.712499999999906,71.68750000000051,85,48
125,24.712499999999906,71.71250000000052,85,47
